Label	Parent	Alternative Term	IEDB Term	Domain	In Taxon
alpha-1A-adrenergic receptor (Homo sapiens)	protein	alpha 1A adrenergic receptor	alpha-1A-adrenergic receptor	protein	Homo sapiens
Alpha-2-HS-glycoprotein (Bos taurus)	protein	Asialofetuin|fetuin	Alpha-2-HS-glycoprotein	protein	Bos taurus
Alpha-crystallin B chain (Homo sapiens)	protein	Alpha(B)-crystallin|Heat shock protein beta-5|HspB5|Renal carcinoma antigen NY-REN-27|Rosenthal fiber component	Alpha-crystallin B chain	protein	Homo sapiens
alpha-gliadin (Triticum turgidum)	protein	gliadin	alpha-gliadin	protein	Triticum turgidum
Alpha-S1-casein (Bos taurus)	protein		Alpha-S1-casein	protein	Bos taurus
alpha/beta gliadin precursor (Triticum aestivum)	protein		alpha/beta gliadin precursor	protein	Triticum aestivum
alpha1A-voltage-dependent calcium channel (Homo sapiens)	protein		alpha1A-voltage-dependent calcium channel	protein	Homo sapiens
Alternate genetic product (Ehrlichia ruminantium)	protein		Alternate genetic product	protein	Ehrlichia ruminantium
Alternate genetic product (Human alphaherpesvirus 1)	protein		Alternate genetic product	protein	Human alphaherpesvirus 1
Alternate genetic product (Human gammaherpesvirus 4)	protein		Alternate genetic product	protein	Human gammaherpesvirus 4
Alternate genetic product (Murine leukemia virus)	protein		Alternate genetic product	protein	Murine leukemia virus
alternatively spliced Insulin (Homo sapiens)	protein	alternate	alternatively spliced Insulin	protein	Homo sapiens
ZAPHIR (Homo sapiens)	protein	ZNF419 alternatively spliced polymorphic histocompatibility antigen in RCC	alternatively spliced ZAPHIR	protein	Homo sapiens
Amb p 5 (Ambrosia psilostachya)	protein		Amb p 5	protein	Ambrosia psilostachya
ammodytoxin B variant (Vipera aspis)	protein		ammodytoxin B variant	protein	Vipera aspis
amphiregulin (Homo sapiens)	protein		amphiregulin	protein	Homo sapiens
Amyloid beta A4 protein (Homo sapiens)	protein	ABPP|APPI|Alzheimer disease amyloid protein|CVAP|Cerebral vascular amyloid peptide|PN-II|PreA4|Protease nexin-II	Amyloid beta A4 protein	protein	Homo sapiens
anaphase-promoting complex (Mus musculus)	protein		anaphase-promoting complex	protein	Mus musculus
androgen receptor (Homo sapiens)	protein		androgen receptor	protein	Homo sapiens
angiotensin-converting enzyme isoform 1 (Homo sapiens)	protein	angiotensin converting enzyme isoform 1	angiotensin-converting enzyme isoform 1	protein	Homo sapiens
ankyrin repeat domain 30B (Homo sapiens)	protein		ankyrin repeat domain 30B	protein	Homo sapiens
Ankyrin repeat protein 14 (Vaccinia virus)	protein		Ankyrin repeat protein 14	protein	Vaccinia virus
anoctamin-9 (Homo sapiens)	protein		anoctamin-9	protein	Homo sapiens
antigen 5 (Glossina morsitans)	protein	Ag5	antigen 5	protein	Glossina morsitans
Antigen 85-B (Mycobacterium leprae)	protein		Antigen 85-B	protein	Mycobacterium leprae
antigen Pfg27/25 (Plasmodium falciparum)	protein		antigen Pfg27/25	protein	Plasmodium falciparum
antiphagocytic M protein (Streptococcus)	protein		antiphagocytic M protein	protein	Streptococcus
Apical membrane antigen 1 (Plasmodium falciparum)	protein		Apical membrane antigen 1	protein	Plasmodium falciparum
apolipoprotein A-II (Homo sapiens)	protein		apolipoprotein A-II	protein	Homo sapiens
apolipoprotein A-IV precursor (Mus musculus)	protein		apolipoprotein A-IV precursor	protein	Mus musculus
apolipoprotein B (Bos taurus)	protein		apolipoprotein B	protein	Bos taurus
apolipoprotein B (Mus musculus)	protein		apolipoprotein B	protein	Mus musculus
apolipoprotein B-100 precursor (Homo sapiens)	protein	APOB	apolipoprotein B-100 precursor	protein	Homo sapiens
apolipoprotein E (Homo sapiens)	protein		apolipoprotein E	protein	Homo sapiens
apolipoprotein(a) precursor (Homo sapiens)	protein	LPA	apolipoprotein(a) precursor	protein	Homo sapiens
AraC family transcriptional regulator (Salmonella enterica)	protein		AraC family transcriptional regulator	protein	Salmonella enterica
arachidonate 5-lipoxygenase-activating protein (Homo sapiens)	protein		arachidonate 5-lipoxygenase-activating protein	protein	Homo sapiens
Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 1 (Homo sapiens)	protein	Centaurin-beta-1|Cnt-b1	Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 1	protein	Homo sapiens
arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 2 (Homo sapiens)	protein		arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 2	protein	Homo sapiens
arylphorin (Galleria mellonella)	protein	Gal lysin-1	arylphorin	protein	Galleria mellonella
Arylsulfatase K (Homo sapiens)	protein	ASK	Arylsulfatase K	protein	Homo sapiens
ASH1 (Homo sapiens)	protein		ASH1	protein	Homo sapiens
asparagine-linked glycosylation 8 homolog (Mus musculus)	protein	Alg8	asparagine-linked glycosylation 8 homolog	protein	Mus musculus
asparagine-rich protein (Plasmodium falciparum)	protein	asparagine rich protein	asparagine-rich protein	protein	Plasmodium falciparum
aspartate aminotransferase (Leishmania aethiopica)	protein		aspartate aminotransferase	protein	Leishmania aethiopica
aspartokinase (Coxiella burnetii)	protein		aspartokinase	protein	Coxiella burnetii
Aspartyl proteinase (Coccidioides posadasii)	protein		Aspartyl proteinase	protein	Coccidioides posadasii
Assembly protein, protease (Murid betaherpesvirus 1)	protein	MuHV1_gpM80	Assembly protein, protease	protein	Murid betaherpesvirus 1
ATP synthase (Dermatophagoides)	protein		ATP synthase	protein	Dermatophagoides
ATP synthase 6 (Homo sapiens)	protein		ATP synthase 6	protein	Homo sapiens
ATP synthase subunit a (Rattus norvegicus)	protein	F-ATPase protein 6	ATP synthase subunit a	protein	Rattus norvegicus
ATP synthase subunit beta (Plasmodium berghei)	protein		ATP synthase subunit beta	protein	Plasmodium berghei
ATP-binding cassette sub-family F member 3 (Homo sapiens)	protein		ATP-binding cassette sub-family F member 3	protein	Homo sapiens
ATPase family AAA domain-containing protein 2 (Mus musculus)	protein		ATPase family AAA domain-containing protein 2	protein	Mus musculus
B13 antigen (Trypanosoma cruzi)	protein	CA-2|surface antigen 2	B13 antigen	protein	Trypanosoma cruzi
Baculoviral IAP repeat-containing protein 5 (Homo sapiens)	protein	Apoptosis inhibitor 4|Apoptosis inhibitor survivin	Baculoviral IAP repeat-containing protein 5	protein	Homo sapiens
Band 3 anion transport protein (Homo sapiens)	protein	AE 1|Anion exchange protein 1|Anion exchanger 1|Solute carrier family 4 member 1	Band 3 anion transport protein	protein	Homo sapiens
band 3 anion transport protein (Mus musculus)	protein		band 3 anion transport protein	protein	Mus musculus
basic helix-loop-helix domain-containing protein USF3 (Homo sapiens)	protein	Upstream transcription factor 3	basic helix-loop-helix domain-containing protein USF3	protein	Homo sapiens
Basic phospholipase A2 (Micrurus corallinus)	protein	Phosphatidylcholine 2-acylhydrolase|svPLA2	Basic phospholipase A2	protein	Micrurus corallinus
bcl-2-like neoepitope protein 13 (Homo sapiens)	protein	BCL2L13	bcl-2-like neoepitope protein 13	protein	Homo sapiens
BcRF1 (Human gammaherpesvirus 4)	protein	HHV4tp2_gp59	BcRF1	protein	Human gammaherpesvirus 4
beta-1 adrenergic receptor (Meleagris gallopavo)	protein		beta-1 adrenergic receptor	protein	Meleagris gallopavo
beta-1,3-galactosyltransferase 6 (Homo sapiens)	protein	B3GALT6 protein	beta-1,3-galactosyltransferase 6	protein	Homo sapiens
Beta-2-glycoprotein 1 (Homo sapiens)	protein	APC inhibitor|Activated protein C-binding protein|Anticardiolipin cofactor|Apo-H|Apolipoprotein H|B2GPI|Beta(2)GPI|Beta-2-glycoprotein I	Beta-2-glycoprotein 1	protein	Homo sapiens
Beta-2-microglobulin (Homo sapiens)	protein		Beta-2-microglobulin	protein	Homo sapiens
Beta-2-microglobulin (Mus musculus)	protein		Beta-2-microglobulin	protein	Mus musculus
beta-casein (Bos taurus)	protein	beta casein	beta-casein	protein	Bos taurus
beta-conglycinin alpha subunit (Glycine max)	protein		beta-conglycinin alpha subunit	protein	Glycine max
Beta-galactosidase (Escherichia coli)	protein	Lactase|b0344|lacZ	Beta-galactosidase	protein	Escherichia coli
beta-lactoglobulin (Bos taurus)	protein	lactoglobulin beta	beta-lactoglobulin	protein	Bos taurus
bifunctional heparan sulfate N-deacetylase/N-sulfotransferase (Homo sapiens)	protein		bifunctional heparan sulfate N-deacetylase/N-sulfotransferase	protein	Homo sapiens
biglycan (Homo sapiens)	protein		biglycan	protein	Homo sapiens
BIR protein (Plasmodium berghei)	protein		BIR protein	protein	Plasmodium berghei
Bla g 11 (Blattella germanica)	protein	Bla g 11 alpha-amylase	Bla g 11	protein	Blattella germanica
Botulinum neurotoxin type E, nontoxic-nonhemagglutinin component, NTNH (Clostridium botulinum)	protein		Botulinum neurotoxin type E, nontoxic-nonhemagglutinin component, NTNH	protein	Clostridium botulinum
BphC (Paraburkholderia fungorum)	protein		BphC	protein	Paraburkholderia fungorum
BPSL1050 (Burkholderia pseudomallei)	protein	Bpsl1050	BPSL1050	protein	Burkholderia pseudomallei
BRCA1 associated RING domain 1 (Homo sapiens)	protein	BRCA1-associated RING domain protein 1	BRCA1 associated RING domain 1	protein	Homo sapiens
Bruton agammaglobulinemia tyrosine kinase (Homo sapiens)	protein		Bruton agammaglobulinemia tyrosine kinase	protein	Homo sapiens
bullous pemphigoid antigen (Homo sapiens)	protein	BPA|Dystonia musculorum protein|Dystonin	bullous pemphigoid antigen	protein	Homo sapiens
Butyrophilin subfamily 1 member A1 (Bos taurus)	protein	BT	Butyrophilin subfamily 1 member A1	protein	Bos taurus
butyrophilin subfamily 2 member A2 isoform a (Homo sapiens)	protein		butyrophilin subfamily 2 member A2 isoform a	protein	Homo sapiens
BZLF1 (Human gammaherpesvirus 4)	protein		BZLF1	protein	Human gammaherpesvirus 4
C-C motif chemokine 3 (Homo sapiens)	protein	G0/G1 switch regulatory protein 19-1|MIP-1-alpha|Macrophage inflammatory protein 1-alpha|PAT 464.1|SIS-beta|Small-inducible cytokine A3|Tonsillar lymphocyte LD78 alpha protein	C-C motif chemokine 3	protein	Homo sapiens
