Label	Parent	Alternative Term	IEDB Term	Domain	In Taxon
fibrinogen gamma (Macaca fascicularis)	protein		fibrinogen gamma	protein	Macaca fascicularis
Fibrinogen gamma chain (Homo sapiens)	protein		Fibrinogen gamma chain	protein	Homo sapiens
fibronectin-binding protein (Streptococcus pyogenes)	protein		fibronectin-binding protein	protein	Streptococcus pyogenes
Filaggrin (Homo sapiens)	protein		Filaggrin	protein	Homo sapiens
filamin C (Dermatophagoides)	protein		filamin C	protein	Dermatophagoides
flagellar biosynthesis protein FlgA (Mycobacterium tuberculosis)	protein		flagellar biosynthesis protein FlgA	protein	Mycobacterium tuberculosis
FMRFamide precursor (Macrocallista nimbosa)	protein		FMRFamide precursor	protein	Macrocallista nimbosa
Fms-related tyrosine kinase 3 ligand (Homo sapiens)	protein	Flt3 ligand|Flt3L|SL cytokine	Fms-related tyrosine kinase 3 ligand	protein	Homo sapiens
follicle-stimulating hormone (Homo sapiens)	protein	FSH	follicle-stimulating hormone	protein	Homo sapiens
Follicle-stimulating hormone receptor (Homo sapiens)	protein	FSH-R|Follitropin receptor	Follicle-stimulating hormone receptor	protein	Homo sapiens
Follistatin-related protein 1 (Homo sapiens)	protein	FRP|Follistatin-like 1	Follistatin-related protein 1	protein	Homo sapiens
follitropin subunit beta (Homo sapiens)	protein	FSHB|follicle-stimulating hormone beta	follitropin subunit beta	protein	Homo sapiens
formate transporter FocA (Salmonella enterica)	protein		formate transporter FocA	protein	Salmonella enterica
formin binding protein 1 (Homo sapiens)	protein		formin binding protein 1	protein	Homo sapiens
formin like protein 1 (Homo sapiens)	protein	formin-like protein 1	formin like protein 1	protein	Homo sapiens
fructose bisphosphate aldolase (Dermatophagoides)	protein		fructose bisphosphate aldolase	protein	Dermatophagoides
fructose-1,6-bisphosphate aldolase (Trichomonas vaginalis)	protein		fructose-1,6-bisphosphate aldolase	protein	Trichomonas vaginalis
FtsJ-like protein 1 (Homo sapiens)	protein		FtsJ-like protein 1	protein	Homo sapiens
Full=Disintegrin and metalloproteinase domain-containing protein 22 (Homo sapiens)	protein	ADAM 22	Full=Disintegrin and metalloproteinase domain-containing protein 22	protein	Homo sapiens
fusion glycoprotein (Bovine orthopneumovirus)	protein		fusion glycoprotein	protein	Bovine orthopneumovirus
Fusion glycoprotein F0 (Human orthopneumovirus)	protein	Protein F	Fusion glycoprotein F0	protein	Human orthopneumovirus
Gag polyprotein (Human immunodeficiency virus 1)	protein	Pr55Gag	Gag polyprotein	protein	Human immunodeficiency virus 1
Gag polyprotein (Human T-lymphotropic virus 2)	protein	Pr53Gag	Gag polyprotein	protein	Human T-lymphotropic virus 2
Gag polyprotein (Moloney murine leukemia virus)	protein	Core polyprotein|Pr65gag	Gag polyprotein	protein	Moloney murine leukemia virus
Gag polyprotein (Multiple sclerosis associated retrovirus element)	protein		Gag polyprotein	protein	Multiple sclerosis associated retrovirus element
gag protein (Caprine arthritis encephalitis virus)	protein	gag	gag protein	protein	Caprine arthritis encephalitis virus
gag protein (Equine infectious anemia virus)	protein	gag	gag protein	protein	Equine infectious anemia virus
gag protein (Feline immunodeficiency virus)	protein		gag protein	protein	Feline immunodeficiency virus
gag protein (Visna-maedi virus)	protein		gag protein	protein	Visna-maedi virus
Gag-Pol polyprotein (Human immunodeficiency virus 1)	protein	Pr160Gag-Pol	Gag-Pol polyprotein	protein	Human immunodeficiency virus 1
gamma globulin (Gallus gallus)	protein	Ig	gamma globulin	protein	Gallus gallus
gamma globulin (Homo sapiens)	protein	HGG	gamma globulin	protein	Homo sapiens
Gamma-gliadin (Aegilops speltoides)	protein		Gamma-gliadin	protein	Aegilops speltoides
Gamma-gliadin (Triticum aestivum)	protein		Gamma-gliadin	protein	Triticum aestivum
Gamma-interferon-inducible lysosomal thiol reductase (Homo sapiens)	protein	Gamma-interferon-inducible protein IP-30|Legumaturain	Gamma-interferon-inducible lysosomal thiol reductase	protein	Homo sapiens
Gammaglobulin (Mus musculus)	protein	Ig|Immunoglobulin	Gammaglobulin	protein	Mus musculus
GATA binding protein 2 (Homo sapiens)	protein		GATA binding protein 2	protein	Homo sapiens
GCR homolog (Murid betaherpesvirus 1)	protein	MuHV1_gpM78	GCR homolog	protein	Murid betaherpesvirus 1
Genome polyprotein (Bovine viral diarrhea virus 1)	protein		Genome polyprotein	protein	Bovine viral diarrhea virus 1
Genome polyprotein (Coxsackievirus B4)	protein		Genome polyprotein	protein	Coxsackievirus B4
Genome polyprotein (Dengue virus 1)	protein		Genome polyprotein	protein	Dengue virus 1
Genome polyprotein (Dengue virus 2)	protein		Genome polyprotein	protein	Dengue virus 2
Genome polyprotein (Dengue virus 3)	protein		Genome polyprotein	protein	Dengue virus 3
Genome polyprotein (Dengue virus 4)	protein		Genome polyprotein	protein	Dengue virus 4
Genome polyprotein (Encephalomyocarditis virus)	protein		Genome polyprotein	protein	Encephalomyocarditis virus
Genome polyprotein (Hepacivirus C)	protein		Genome polyprotein	protein	Hepacivirus C
Genome polyprotein (Human poliovirus 1)	protein		Genome polyprotein	protein	Human poliovirus 1
Genome polyprotein (Human rhinovirus A89)	protein		Genome polyprotein	protein	Human rhinovirus A89
Genome polyprotein (Japanese encephalitis virus)	protein		Genome polyprotein	protein	Japanese encephalitis virus
Genome polyprotein (Kunjin virus)	protein		Genome polyprotein	protein	Kunjin virus
Genome polyprotein (Theiler's encephalomyelitis virus)	protein		Genome polyprotein	protein	NCBITaxon:12124
Genome polyprotein (Yellow fever virus)	protein		Genome polyprotein	protein	Yellow fever virus
Gi-rep glycoprotein (Styela plicata)	protein		Gi-rep glycoprotein	protein	Styela plicata
Glucose-6-phosphatase 2 (Mus musculus)	protein	G-6-Pase 2|G6Pase 2|Islet-specific glucose-6-phosphatase catalytic subunit-related protein	Glucose-6-phosphatase 2	protein	Mus musculus
glucosylceramidase (Dermatophagoides)	protein		glucosylceramidase	protein	Dermatophagoides
glucosyltransferase (Salmonella enterica)	protein		glucosyltransferase	protein	Salmonella enterica
Glucosyltransferase-I (Streptococcus mutans)	protein		Glucosyltransferase-I	protein	Streptococcus mutans
Glutamate decarboxylase 1 (Homo sapiens)	protein	67 kDa glutamic acid decarboxylase|GAD-67|Glutamate decarboxylase 67 kDa isoform	Glutamate decarboxylase 1	protein	Homo sapiens
Glutamate decarboxylase 1 (Mus musculus)	protein	67 kDa glutamic acid decarboxylase|GAD-67|Glutamate decarboxylase 67 kDa isoform	Glutamate decarboxylase 1	protein	Mus musculus
glutamate decarboxylase 2 (Homo sapiens)	protein	GAD|GAD2|GAD65|glutamic acid decarboxylase	glutamate decarboxylase 2	protein	Homo sapiens
Glutamate decarboxylase 2 (Mus musculus)	protein	65 kDa glutamic acid decarboxylase|GAD-65|Glutamate decarboxylase 65 kDa isoform	Glutamate decarboxylase 2	protein	Mus musculus
Glutamate decarboxylase 2 (Rattus norvegicus)	protein	65 kDa glutamic acid decarboxylase|GAD-65|Glutamate decarboxylase 65 kDa isoform	Glutamate decarboxylase 2	protein	Rattus norvegicus
glutamate receptor (Dermatophagoides)	protein		glutamate receptor	protein	Dermatophagoides
Glutamate receptor ionotropic, NMDA 2A (Homo sapiens)	protein	GluN2A|Glutamate [NMDA] receptor subunit epsilon-1|N-methyl D-aspartate receptor subtype 2A|NMDAR2A|NR2A|hNR2A	Glutamate receptor ionotropic, NMDA 2A	protein	Homo sapiens
glutamate receptor-interacting protein 1 isoform 1 (Homo sapiens)	protein	GRIP1	glutamate receptor-interacting protein 1 isoform 1	protein	Homo sapiens
glutamine synthetase (Dermatophagoides)	protein		glutamine synthetase	protein	Dermatophagoides
Glutathione peroxidase 1 (Homo sapiens)	protein		Glutathione peroxidase 1	protein	Homo sapiens
Glutathione S-transferase (Escherichia coli)	protein		Glutathione S-transferase	protein	Escherichia coli
glutathione transferase mu (Dermatophagoides pteronyssinus)	protein	Dp7002H05	glutathione transferase mu	protein	Dermatophagoides pteronyssinus
Glutenin, high molecular weight subunit DX5 (Triticum aestivum)	protein		Glutenin, high molecular weight subunit DX5	protein	Triticum aestivum
glyceraldehyde 3-phosphate dehydrogenase (Trichomonas vaginalis)	protein	GAPDH	glyceraldehyde 3-phosphate dehydrogenase	protein	Trichomonas vaginalis
Glyceraldehyde-3-phosphate dehydrogenase (Homo sapiens)	protein	Peptidyl-cysteine S-nitrosylase GAPDH	Glyceraldehyde-3-phosphate dehydrogenase	protein	Homo sapiens
Glyceraldehyde-3-phosphate dehydrogenase (Mus musculus)	protein		Glyceraldehyde-3-phosphate dehydrogenase	protein	Mus musculus
glyceraldehyde-3-phosphate dehydrogenase (Streptococcus dysgalactiae)	protein		glyceraldehyde-3-phosphate dehydrogenase	protein	Streptococcus dysgalactiae
glycerophosphoryl diester phosphodiesterase (Coxiella burnetii)	protein		glycerophosphoryl diester phosphodiesterase	protein	Coxiella burnetii
glycophorin B MNS blood group (Homo sapiens)	protein		glycophorin B MNS blood group	protein	Homo sapiens
Glycophorin-A (Homo sapiens)	protein	MN sialoglycoprotein|PAS-2|Sialoglycoprotein alpha	Glycophorin-A	protein	Homo sapiens
Glycophorin-binding protein (Plasmodium falciparum)	protein	GBP-130	Glycophorin-binding protein	protein	Plasmodium falciparum
glycoprotein (Duvenhage lyssavirus)	protein		glycoprotein	protein	Duvenhage lyssavirus
glycoprotein (Variola virus)	protein		glycoprotein	protein	Variola virus
glycoprotein D (Bovine alphaherpesvirus 1)	protein		glycoprotein D	protein	Bovine alphaherpesvirus 1
glycoprotein G (Human alphaherpesvirus 1)	protein		glycoprotein G	protein	Human alphaherpesvirus 1
glycoprotein G (Human alphaherpesvirus 2)	protein		glycoprotein G	protein	Human alphaherpesvirus 2
Glycoprotein G (Rabies lyssavirus)	protein		Glycoprotein G	protein	Rabies lyssavirus
Pre-glycoprotein polyprotein GP complex (Lymphocytic choriomeningitis mammarenavirus)	protein	glycoprotein GP	glycoprotein GP	protein	Lymphocytic choriomeningitis mammarenavirus
Glycoprotein H (Human gammaherpesvirus 8)	protein		Glycoprotein H	protein	Human gammaherpesvirus 8
Glycoprotein UL1 (Human betaherpesvirus 5)	protein		Glycoprotein UL1	protein	Human betaherpesvirus 5
glycosyl transferase (Plasmodium berghei)	protein		glycosyl transferase	protein	Plasmodium berghei
GNAT family N-acetyltransferase (Yersinia enterocolitica)	protein		GNAT family N-acetyltransferase	protein	Yersinia enterocolitica
Golgi SNAP receptor complex member 2 (Homo sapiens)	protein	27 kDa Golgi SNARE protein	Golgi SNAP receptor complex member 2	protein	Homo sapiens
gonadotropin-releasing hormone (Oryctolagus cuniculus)	protein	GnRH	gonadotropin-releasing hormone	protein	Oryctolagus cuniculus
gp51 (Bovine leukemia virus)	protein		gp51	protein	Bovine leukemia virus
GP63, leishmanolysin (Leishmania infantum)	protein		GP63, leishmanolysin	protein	Leishmania infantum
GP63, leishmanolysin (Leishmania major)	protein		GP63, leishmanolysin	protein	Leishmania major
GP63, leishmanolysin (Leishmania mexicana)	protein		GP63, leishmanolysin	protein	Leishmania mexicana
GP83 (Caviid betaherpesvirus 2)	protein		GP83	protein	Caviid betaherpesvirus 2
granulins (Homo sapiens)	protein		granulins	protein	Homo sapiens
GroEL-like chaperonin (Blattella germanica)	protein		GroEL-like chaperonin	protein	Blattella germanica
group 14 allergen protein (Dermatophagoides pteronyssinus)	protein		group 14 allergen protein	protein	Dermatophagoides pteronyssinus
Group I allergen Ant o I (Anthoxanthum odoratum)	protein		Group I allergen Ant o I	protein	Anthoxanthum odoratum
Growth arrest-specific protein 6 (Homo sapiens)	protein		Growth arrest-specific protein 6	protein	Homo sapiens
growth determining factor 5 (Homo sapiens)	protein	BMP-14|Bone morphogenetic protein 14|GDF-5|GDF5|Growth/differentiation factor 5|Lipopolysaccharide-associated protein 4	growth determining factor 5	protein	Homo sapiens
GTP-binding protein 1 (Mus musculus)	protein	G-protein 1|GP-1|GP1	GTP-binding protein 1	protein	Mus musculus
GTPase NRas (Gallus gallus)	protein	Transforming protein N-Ras	GTPase NRas	protein	Gallus gallus
GTPase NRas (Homo sapiens)	protein		GTPase NRas	protein	Homo sapiens
Guanine nucleotide-binding protein G(o) subunit alpha (Homo sapiens)	protein		Guanine nucleotide-binding protein G(o) subunit alpha	protein	Homo sapiens
guanylate cyclase soluble subunit alpha-3 (Homo sapiens)	protein		guanylate cyclase soluble subunit alpha-3	protein	Homo sapiens
H antigen glycoprotein (Styela plicata)	protein		H antigen glycoprotein	protein	Styela plicata
H-2 class II histocompatibility antigen, E-B beta chain (Mus musculus)	protein		H-2 class II histocompatibility antigen, E-B beta chain	protein	Mus musculus
haemagglutinin (Influenza A virus)	protein	HA|hemagglutinin	haemagglutinin	protein	Influenza A virus
haloacid dehalogenase-like hydrolase (Trypanosoma cruzi)	protein		haloacid dehalogenase-like hydrolase	protein	Trypanosoma cruzi
haloalkane dehalogenase (Mycobacterium tuberculosis variant bovis)	protein		haloalkane dehalogenase	protein	Mycobacterium tuberculosis variant bovis
hCG1653259 (Homo sapiens)	protein		hCG1653259	protein	Homo sapiens
hCG1746041, isoform CRA_b (Homo sapiens)	protein		hCG1746041, isoform CRA_b	protein	Homo sapiens
hCG1811882 (Homo sapiens)	protein		hCG1811882	protein	Homo sapiens
hCG1980844 (Homo sapiens)	protein		hCG1980844	protein	Homo sapiens
hCG2038477 (Homo sapiens)	protein		hCG2038477	protein	Homo sapiens
heart alpha-kinase (Homo sapiens)	protein		heart alpha-kinase	protein	Homo sapiens
HEAT repeat-containing protein 2 (Homo sapiens)	protein		HEAT repeat-containing protein 2	protein	Homo sapiens
Heat shock 70 kDa protein 6 (Homo sapiens)	protein	Heat shock 70 kDa protein B'	Heat shock 70 kDa protein 6	protein	Homo sapiens
heat shock protein 70 (Leishmania donovani)	protein		heat shock protein 70	protein	Leishmania donovani
heat shock protein 70 cognate (Mus musculus)	protein		heat shock protein 70 cognate	protein	Mus musculus
Heat-labile enterotoxin B chain (Escherichia coli)	protein		Heat-labile enterotoxin B chain	protein	Escherichia coli
Hemagglutinin (Influenza B virus)	protein		Hemagglutinin	protein	Influenza B virus
Hemagglutinin glycoprotein (Measles morbillivirus)	protein		Hemagglutinin glycoprotein	protein	Measles morbillivirus
Hemagglutinin precursor (Influenza A virus)	protein	HA	Hemagglutinin precursor	protein	Influenza A virus
Hemagglutinin-neuraminidase (Avian avulavirus 1)	protein		Hemagglutinin-neuraminidase	protein	Avian avulavirus 1
Hemoglobin (Equus caballus)	protein		Hemoglobin	protein	Equus caballus
Hemolysin activator protein (Two-partner secretion system accessory protein) (Proteus mirabilis)	protein		Hemolysin activator protein (Two-partner secretion system accessory protein)	protein	Proteus mirabilis
hepatocyte erythrocyte protein 17 kDa (Plasmodium yoelii)	protein	PyHEP17	hepatocyte erythrocyte protein 17 kDa	protein	Plasmodium yoelii
HERV-L protein (Human endogenous retrovirus)	protein		HERV-L protein	protein	Human endogenous retrovirus
Heterogeneous nuclear ribonucleoprotein C-like 1 (Homo sapiens)	protein	hnRNP C-like-1|hnRNP core protein C-like 1	Heterogeneous nuclear ribonucleoprotein C-like 1	protein	Homo sapiens
hexon (Chimpanzee adenovirus)	protein		hexon	protein	Chimpanzee adenovirus
Hexon protein (Human adenovirus 2)	protein	CP-H|Protein II	Hexon protein	protein	Human adenovirus 2
Histidine rich protein II (Plasmodium falciparum)	protein		Histidine rich protein II	protein	Plasmodium falciparum
Histidine triad nucleotide-binding protein 1 (Homo sapiens)	protein	Adenosine 5'-monophosphoramidase	Histidine triad nucleotide-binding protein 1	protein	Homo sapiens
histocompatibility 47 (Mus musculus)	protein		histocompatibility 47	protein	Mus musculus
Histone demethylase UTY (Homo sapiens)	protein	Ubiquitously-transcribed TPR protein on the Y chromosome|Ubiquitously-transcribed Y chromosome tetratricopeptide repeat protein	Histone demethylase UTY	protein	Homo sapiens
Histone H1.0 (Homo sapiens)	protein	Histone H1'|Histone H1(0)	Histone H1.0	protein	Homo sapiens
Histone H1.4 (Homo sapiens)	protein	Histone H1b|Histone H1s-4	Histone H1.4	protein	Homo sapiens
Histone H2B type 1-B (Mus musculus)	protein	h2B-143	Histone H2B type 1-B	protein	Mus musculus
Histone H2B type 2-E (Homo sapiens)	protein	H2B/q|Histone H2B-GL105|Histone H2B.q	Histone H2B type 2-E	protein	Homo sapiens
Histone H4 (Mus musculus)	protein		Histone H4	protein	Mus musculus
Histone H5 (Gallus gallus)	protein		Histone H5	protein	Gallus gallus
Histone-binding neoepitope protein RBBP7 (Homo sapiens)	protein	RBBP7	Histone-binding neoepitope protein RBBP7	protein	Homo sapiens
Histone-lysine N-methyltransferase ASH1L (Mus musculus)	protein	ASH1-like protein|Absent small and homeotic disks protein 1 homolog	Histone-lysine N-methyltransferase ASH1L	protein	Mus musculus
HLA class II histocompatibility antigen gamma chain (Homo sapiens)	protein	HLA-DR antigens-associated invariant chain|Ia antigen-associated invariant chain|Ii|p33	HLA class II histocompatibility antigen gamma chain	protein	Homo sapiens
HLA class II histocompatibility antigen, DRB1 beta chain (Homo sapiens)	protein	DR-1|DR1|MHC class I antigen DRB1*1	HLA class II histocompatibility antigen, DRB1 beta chain	protein	Homo sapiens
HMG-17 (Homo sapiens)	protein	high mobility group nonhistone nucleosomal protein	HMG-17	protein	Homo sapiens
holin (Salmonella enterica)	protein		holin	protein	Salmonella enterica
huntingtin (Homo sapiens)	protein	Huntington disease protein	huntingtin	protein	Homo sapiens
hydrolase (Dermatophagoides)	protein		hydrolase	protein	Dermatophagoides
Hydrophobic seed protein (Glycine max)	protein	HPS	Hydrophobic seed protein	protein	Glycine max
hydroxymethylpyrimidine kinase (Coxiella burnetii)	protein		hydroxymethylpyrimidine kinase	protein	Coxiella burnetii
Hypothetical (Yersinia pestis)	protein		Hypothetical	protein	Yersinia pestis
Hypothetical 13.6 kDa HINDIII-C protein (Vaccinia virus)	protein		Hypothetical 13.6 kDa HINDIII-C protein	protein	Vaccinia virus
Hypothetical protein (Coxiella burnetii)	protein		Hypothetical protein	protein	Coxiella burnetii
hypothetical protein (Gallus gallus)	protein		hypothetical protein	protein	Gallus gallus
hypothetical protein (Homo sapiens)	protein		hypothetical protein	protein	Homo sapiens
Hypothetical protein (Mycobacterium tuberculosis)	protein		Hypothetical protein	protein	Mycobacterium tuberculosis
hypothetical protein (Salmonella enterica)	protein		hypothetical protein	protein	Salmonella enterica
hypothetical protein (Severe acute respiratory syndrome-related coronavirus)	protein	BSCRV-672_gp11	hypothetical protein	protein	Severe acute respiratory syndrome-related coronavirus
Hypothetical protein (Theileria parva)	protein		Hypothetical protein	protein	Theileria parva
hypothetical protein (Toxoplasma gondii)	protein		hypothetical protein	protein	Toxoplasma gondii
Hypothetical protein BMEII0917 (Brucella melitensis)	protein		Hypothetical protein BMEII0917	protein	Brucella melitensis
hypothetical protein BURPS668_0137 (Burkholderia pseudomallei)	protein	BURPS668_0137	hypothetical protein BURPS668_0137	protein	Burkholderia pseudomallei
hypothetical protein CLJ_B1853 (Clostridium botulinum)	protein	CLJ_B1853	hypothetical protein CLJ_B1853	protein	Clostridium botulinum
hypothetical protein FIVgp4 [Feline immunodeficiency virus] (Feline immunodeficiency virus)	protein		hypothetical protein FIVgp4 [Feline immunodeficiency virus]	protein	Feline immunodeficiency virus
hypothetical protein Mhp 366 (Mycoplasma hyopneumoniae)	protein		hypothetical protein Mhp 366	protein	Mycoplasma hyopneumoniae
hypothetical protein MOQ_007509 (Trypanosoma cruzi)	protein	MOQ	hypothetical protein MOQ_007509	protein	Trypanosoma cruzi
Hypothetical protein P0025F03.20 (Oryza sativa)	protein		Hypothetical protein P0025F03.20	protein	Oryza sativa
hypothetical protein, conserved (Leishmania donovani)	protein		hypothetical protein, conserved	protein	Leishmania donovani
IcmK (Coxiella burnetii)	protein		IcmK	protein	Coxiella burnetii
idiotypic sequence (Homo sapiens)	protein		idiotypic sequence	protein	Homo sapiens
IE1 protein (Human betaherpesvirus 6B)	protein	U90|immediate early 1	IE1 protein	protein	Human betaherpesvirus 6B
IFN alpha 2 (Homo sapiens)	protein	interferon alpha 2	IFN alpha 2	protein	Homo sapiens
Ig G anti-DNA autoantibody (Mus musculus)	protein		Ig G anti-DNA autoantibody	protein	Mus musculus
Ig gamma-1 chain C region (Rattus norvegicus)	protein		Ig gamma-1 chain C region	protein	Rattus norvegicus
Ig heavy chain CDR3 region (Homo sapiens)	protein		Ig heavy chain CDR3 region	protein	Homo sapiens
IgM heavy chain (Dasyatis americana)	protein		IgM heavy chain	protein	Dasyatis americana
IgM lambda light chain (Homo sapiens)	protein	Frymac	IgM lambda light chain	protein	Homo sapiens
Immunoglobulin (Canis lupus familiaris)	protein	Ig|gammaglobulin	Immunoglobulin	protein	Canis lupus familiaris
Immunoglobulin chain (Homo sapiens)	protein		Immunoglobulin chain	protein	Homo sapiens
Immunoglobulin chain (Mus musculus)	protein		Immunoglobulin chain	protein	Mus musculus
Immunoglobulin chain (Oryctolagus cuniculus)	protein		Immunoglobulin chain	protein	Oryctolagus cuniculus
Immunoglobulin chain (Rattus norvegicus)	protein		Immunoglobulin chain	protein	Rattus norvegicus
Immunoglobulin domain variable region (v) (Mus musculus)	protein		Immunoglobulin domain variable region (v)	protein	Mus musculus
Immunoglobulin G-binding protein G (Streptococcus pyogenes)	protein	IgG-binding protein G	Immunoglobulin G-binding protein G	protein	Streptococcus pyogenes
immunoglobulin gamma3 heavy chain constant region (Bos taurus)	protein	igG3	immunoglobulin gamma3 heavy chain constant region	protein	Bos taurus
immunoglobulin gamma4 heavy chain variable region (Bos taurus)	protein	IgG4	immunoglobulin gamma4 heavy chain variable region	protein	Bos taurus
Immunoglobulin heavy chain (Homo sapiens)	protein		Immunoglobulin heavy chain	protein	Homo sapiens
immunoglobulin heavy chain variable region (Mus musculus)	protein	VH	immunoglobulin heavy chain variable region	protein	Mus musculus
immunoglobulin lambda chain variable region (Homo sapiens)	protein	IGLV2-11	immunoglobulin lambda chain variable region	protein	Homo sapiens
immunoglobulin light chain variable region (Mus musculus)	protein		immunoglobulin light chain variable region	protein	Mus musculus
immunoglobulin tau heavy chain (Mus musculus)	protein		immunoglobulin tau heavy chain	protein	Mus musculus
inorganic polyphosphate/ATP-NAD kinase (Coxiella burnetii)	protein		inorganic polyphosphate/ATP-NAD kinase	protein	Coxiella burnetii
Inositol phosphorylceramide synthase (Candida albicans)	protein	Aureobasidin A resistance protein homolog|IPC synthase|Phosphatidylinositol:ceramide phosphoinositol transferase	Inositol phosphorylceramide synthase	protein	Candida albicans
Insulin (Bos taurus)	protein		Insulin	protein	Bos taurus
insulin (Homo sapiens)	protein		insulin	protein	Homo sapiens
Insulin (Sus scrofa)	protein		Insulin	protein	Sus scrofa
Insulin-1 (Mus musculus)	protein		Insulin-1	protein	Mus musculus
Integral membrane protein GPR180 (Mus musculus)	protein		Integral membrane protein GPR180	protein	Mus musculus
Integrator complex subunit 8 (Homo sapiens)	protein	Int8	Integrator complex subunit 8	protein	Homo sapiens
integrin alpha 4 (Homo sapiens)	protein	ITGA4|VLA-4	integrin alpha 4	protein	Homo sapiens
integrin alpha L (Homo sapiens)	protein	integrin alpha-L	integrin alpha L	protein	Homo sapiens
integrin alpha-1 precursor (Homo sapiens)	protein	ITGA1	integrin alpha-1 precursor	protein	Homo sapiens
Integrin alpha-L (Homo sapiens)	protein	Leukocyte adhesion glycoprotein LFA-1	Integrin alpha-L	protein	Homo sapiens
Integrin beta-2 (Homo sapiens)	protein	Cell surface adhesion glycoproteins LFA-1/CR3/p150,95 subunit beta|Complement receptor C3 subunit beta	Integrin beta-2	protein	Homo sapiens
Integrin beta-3 precursor (Homo sapiens)	protein	CD61 antigen|GP3A|GPIIIa|ITGB3|Platelet membrane glycoprotein IIIa	Integrin beta-3 precursor	protein	Homo sapiens
integrin-linked protein kinase (Mus musculus)	protein	ilk	integrin-linked protein kinase	protein	Mus musculus
integrin, alpha M (Homo sapiens)	protein		integrin, alpha M	protein	Homo sapiens
intercellular adhesion molecule 3 (Homo sapiens)	protein		intercellular adhesion molecule 3	protein	Homo sapiens
interferon (alpha, beta and omega) receptor 1 (Homo sapiens)	protein	IFNAR	interferon (alpha, beta and omega) receptor 1	protein	Homo sapiens
interferon, gamma-inducible protein (Homo sapiens)	protein		interferon, gamma-inducible protein	protein	Homo sapiens
interleukin 2 receptor (Homo sapiens)	protein		interleukin 2 receptor	protein	Homo sapiens
Interleukin-1-binding protein (Vaccinia virus)	protein	Protein B15	Interleukin-1-binding protein	protein	Vaccinia virus
interleukin-10 receptor (Mus musculus)	protein	Cytokine receptor family 2 member 4	interleukin-10 receptor	protein	Mus musculus
interleukin-17A (Macaca fascicularis)	protein		interleukin-17A	protein	Macaca fascicularis
Interleukin-6 (Homo sapiens)	protein		Interleukin-6	protein	Homo sapiens
Interspersed repeat antigen, putative (Plasmodium falciparum)	protein		Interspersed repeat antigen, putative	protein	Plasmodium falciparum
Intestinal cell surface glycoprotein (Rhipicephalus decoloratus)	protein		Intestinal cell surface glycoprotein	protein	Rhipicephalus decoloratus
invasion-associated protein (Mycobacterium tuberculosis)	protein	INV|invasion protein	invasion-associated protein	protein	Mycobacterium tuberculosis
IQ motif containing GTPase activating protein 2 (Homo sapiens)	protein		IQ motif containing GTPase activating protein 2	protein	Homo sapiens
Islet amyloid polypeptide (Mus musculus)	protein	Amylin|DAP|Diabetes-associated peptide	Islet amyloid polypeptide	protein	Mus musculus
Islet cell autoantigen 1 (Homo sapiens)	protein	69 kDa islet cell autoantigen|ICA69|ICAp69|Islet cell autoantigen p69	Islet cell autoantigen 1	protein	Homo sapiens
islet-specific glucose-6-phosphatase-related protein (Homo sapiens)	protein	IGRP	islet-specific glucose-6-phosphatase-related protein	protein	Homo sapiens
isomerase (Dermatophagoides)	protein		isomerase	protein	Dermatophagoides
IST1 homolog (Mus musculus)	protein		IST1 homolog	protein	Mus musculus
Jade-1 (Homo sapiens)	protein	IPI00399252,IPI00789745	Jade-1	protein	Homo sapiens
kappa-casein (Bos taurus)	protein	kappa casein	kappa-casein	protein	Bos taurus
kelch domain (Homo sapiens)	protein		kelch domain	protein	Homo sapiens
Kelch repeat protein C2 (Vaccinia virus)	protein		Kelch repeat protein C2	protein	Vaccinia virus
kelch-like protein (Variola virus)	protein		kelch-like protein	protein	Variola virus
keratin 8 (Homo sapiens)	protein	cytokeratin 8	keratin 8	protein	Homo sapiens
Keyhole limpet hemocyanin (Megathura crenulata)	protein	KLH	Keyhole limpet hemocyanin	protein	Megathura crenulata
kinectin (Homo sapiens)	protein	kinesin receptor	kinectin	protein	Homo sapiens
kinesin-3 (Schizophyllum commune)	protein		kinesin-3	protein	Schizophyllum commune
kininogen-1 isoform 3 (Homo sapiens)	protein		kininogen-1 isoform 3	protein	Homo sapiens
Knob associated histidine-rich protein (Plasmodium falciparum)	protein		Knob associated histidine-rich protein	protein	Plasmodium falciparum
L-lactate dehydrogenase C chain (Vulpes vulpes)	protein	LDH-C	L-lactate dehydrogenase C chain	protein	Vulpes vulpes
L-selectin (Homo sapiens)	protein		L-selectin	protein	Homo sapiens
L1 protein (Human papillomavirus type 33)	protein		L1 protein	protein	Human papillomavirus type 33
L1 protein (Human papillomavirus)	protein		L1 protein	protein	Human papillomavirus
L2 protein (Human papillomavirus type 16)	protein		L2 protein	protein	Human papillomavirus type 16
lactate dehydrogenase (Papio cynocephalus)	protein		lactate dehydrogenase	protein	Papio cynocephalus
lactoferrin (Homo sapiens)	protein		lactoferrin	protein	Homo sapiens
Lactose permease (Escherichia coli)	protein	Lactose-proton symport	Lactose permease	protein	Escherichia coli
Lactoylglutathione lyase (Brassica juncea)	protein		Lactoylglutathione lyase	protein	Brassica juncea
laminin alpha 4 (Mus musculus)	protein	Lama4	laminin alpha 4	protein	Mus musculus
