:	label	type
NCBITaxon:13451	Corylus avellana	owl:Class
NCBITaxon:1717	Corynebacterium diphtheriae	owl:Class
NCBITaxon:10243	Cowpox virus	owl:Class
NCBITaxon:265872	Cowpox virus (Brighton Red)	owl:Class
NCBITaxon:777	Coxiella burnetii	owl:Class
NCBITaxon:31704	Coxsackievirus A16	owl:Class
NCBITaxon:12072	Coxsackievirus B3	owl:Class
NCBITaxon:12073	Coxsackievirus B4	owl:Class
NCBITaxon:1980519	Crimean-Congo hemorrhagic fever orthonairovirus	owl:Class
NCBITaxon:5207	Cryptococcus neoformans	owl:Class
NCBITaxon:40410	Cryptococcus neoformans var. neoformans	owl:Class
NCBITaxon:3369	Cryptomeria japonica	owl:Class
NCBITaxon:12305	Cucumber mosaic virus	owl:Class
NCBITaxon:329091	Cupressus torulosa	owl:Class
NCBITaxon:28909	Cynodon dactylon	owl:Class
NCBITaxon:7955	Danio rerio	owl:Class
NCBITaxon:50411	Dasyatis americana	owl:Class
NCBITaxon:32544	Dasyuroides byrnei	owl:Class
NCBITaxon:11053	Dengue virus 1	owl:Class
NCBITaxon:11060	Dengue virus 2	owl:Class
NCBITaxon:11069	Dengue virus 3	owl:Class
NCBITaxon:11070	Dengue virus 4	owl:Class
NCBITaxon:6953	Dermatophagoides	owl:Class
NCBITaxon:6954	Dermatophagoides farinae	owl:Class
NCBITaxon:6956	Dermatophagoides pteronyssinus	owl:Class
NCBITaxon:44689	Dictyostelium discoideum	owl:Class
NCBITaxon:7227	Drosophila melanogaster	owl:Class
NCBITaxon:1399582	Duck Tembusu virus	owl:Class
NCBITaxon:1006061	Duck hepatitis A virus 1	owl:Class
NCBITaxon:1006063	Duck hepatitis A virus 3	owl:Class
NCBITaxon:12639	Duck hepatitis B virus	owl:Class
NCBITaxon:38767	Duvenhage lyssavirus	owl:Class
NCBITaxon:11021	Eastern equine encephalitis virus	owl:Class
NCBITaxon:1570291	Ebola virus	owl:Class
NCBITaxon:12062	Echovirus E6	owl:Class
NCBITaxon:12643	Ectromelia virus	owl:Class
NCBITaxon:779	Ehrlichia ruminantium	owl:Class
NCBITaxon:5801	Eimeria acervulina	owl:Class
NCBITaxon:74364	Elaphe carinata	owl:Class
NCBITaxon:74398	Elaphe taeniura	owl:Class
NCBITaxon:12104	Encephalomyocarditis virus	owl:Class
NCBITaxon:5759	Entamoeba histolytica	owl:Class
NCBITaxon:138948	Enterovirus A	owl:Class
NCBITaxon:39054	Enterovirus A71	owl:Class
NCBITaxon:12064	Enterovirus E	owl:Class
NCBITaxon:10326	Equid alphaherpesvirus 1	owl:Class
NCBITaxon:10331	Equid alphaherpesvirus 4	owl:Class
NCBITaxon:12657	Equid gammaherpesvirus 2	owl:Class
NCBITaxon:11665	Equine infectious anemia virus	owl:Class
NCBITaxon:47000	Equine rhinitis A virus	owl:Class
NCBITaxon:168014	Equine rhinitis B virus 2	owl:Class
NCBITaxon:9796	Equus caballus	owl:Class
NCBITaxon:9798	Equus przewalskii	owl:Class
NCBITaxon:312185	Erbovirus A	owl:Class
NCBITaxon:562	Escherichia coli	owl:Class
NCBITaxon:37762	Escherichia coli B	owl:Class
NCBITaxon:83333	Escherichia coli K-12	owl:Class
NCBITaxon:217992	Escherichia coli O6	owl:Class
NCBITaxon:329852	Escherichia virus MS2	owl:Class
NCBITaxon:46608	Exogenous mouse mammary tumor virus	owl:Class
NCBITaxon:3617	Fagopyrum esculentum	owl:Class
NCBITaxon:6192	Fasciola hepatica	owl:Class
NCBITaxon:11673	Feline immunodeficiency virus	owl:Class
NCBITaxon:11135	Feline infectious peritonitis virus	owl:Class
NCBITaxon:11768	Feline leukemia virus	owl:Class
NCBITaxon:9685	Felis catus	owl:Class
NCBITaxon:12110	Foot-and-mouth disease virus	owl:Class
NCBITaxon:12113	Foot-and-mouth disease virus (strain A5)	owl:Class
NCBITaxon:73482	Foot-and-mouth disease virus (strain O1)	owl:Class
NCBITaxon:12111	Foot-and-mouth disease virus - type A	owl:Class
NCBITaxon:110195	Foot-and-mouth disease virus - type Asia 1	owl:Class
NCBITaxon:12116	Foot-and-mouth disease virus - type C	owl:Class
NCBITaxon:12118	Foot-and-mouth disease virus - type O	owl:Class
NCBITaxon:12122	Foot-and-mouth disease virus - type SAT 1	owl:Class
NCBITaxon:35292	Foot-and-mouth disease virus - type SAT 2	owl:Class
NCBITaxon:12123	Foot-and-mouth disease virus - type SAT 3	owl:Class
NCBITaxon:12121	Foot-and-mouth disease virus C1	owl:Class
NCBITaxon:46290	Foot-and-mouth disease virus C3	owl:Class
NCBITaxon:263	Francisella tularensis	owl:Class
NCBITaxon:376619	Francisella tularensis subsp. holarctica LVS	owl:Class
NCBITaxon:119856	Francisella tularensis subsp. tularensis	owl:Class
NCBITaxon:54290	GB virus C	owl:Class
NCBITaxon:7137	Galleria mellonella	owl:Class
NCBITaxon:9031	Gallus gallus	owl:Class
NCBITaxon:7394	Glossina morsitans	owl:Class
NCBITaxon:3847	Glycine max	owl:Class
NCBITaxon:61466	Gnathostoma binucleatum	owl:Class
NCBITaxon:38251	Goose parvovirus	owl:Class
NCBITaxon:45219	Guanarito mammarenavirus	owl:Class
NCBITaxon:222772	H10N4 subtype	owl:Class
NCBITaxon:183666	H10N5 subtype	owl:Class
NCBITaxon:102801	H10N7 subtype	owl:Class
NCBITaxon:127960	H11N1 subtype	owl:Class
NCBITaxon:142951	H12N5 subtype	owl:Class
NCBITaxon:309405	H14N6 subtype	owl:Class
NCBITaxon:114727	H1N1 subtype	owl:Class
NCBITaxon:36420	H1N1 swine influenza virus	owl:Class
NCBITaxon:114728	H1N2 subtype	owl:Class
NCBITaxon:114732	H2N8 subtype	owl:Class
NCBITaxon:157802	H3N1 subtype	owl:Class
NCBITaxon:119210	H3N2 subtype	owl:Class
NCBITaxon:215851	H3N3 subtype	owl:Class
NCBITaxon:102793	H5N1 subtype	owl:Class
NCBITaxon:119220	H5N2 subtype	owl:Class
NCBITaxon:119221	H5N3 subtype	owl:Class
NCBITaxon:119212	H6N1 subtype	owl:Class
NCBITaxon:119213	H6N2 subtype	owl:Class
NCBITaxon:119214	H7N2 subtype	owl:Class
NCBITaxon:119218	H7N7 subtype	owl:Class
NCBITaxon:142943	H8N4 subtype	owl:Class
NCBITaxon:102796	H9N2 subtype	owl:Class
NCBITaxon:727	Haemophilus influenzae	owl:Class
NCBITaxon:1980471	Hantaan orthohantavirus	owl:Class
NCBITaxon:38016	Hantavirus HTN	owl:Class
NCBITaxon:210	Helicobacter pylori	owl:Class
NCBITaxon:544406	Helicobacter pylori B128	owl:Class
NCBITaxon:11103	Hepacivirus C	owl:Class
NCBITaxon:10407	Hepatitis B virus	owl:Class
NCBITaxon:40271	Hepatitis C virus genotype 2	owl:Class
NCBITaxon:33745	Hepatitis C virus genotype 4	owl:Class
NCBITaxon:33746	Hepatitis C virus genotype 5	owl:Class
NCBITaxon:42182	Hepatitis C virus genotype 6	owl:Class
NCBITaxon:31646	Hepatitis C virus subtype 1a	owl:Class
NCBITaxon:31647	Hepatitis C virus subtype 1b	owl:Class
NCBITaxon:31649	Hepatitis C virus subtype 2a	owl:Class
NCBITaxon:31650	Hepatitis C virus subtype 2b	owl:Class
NCBITaxon:356387	Hepatitis C virus subtype 2i	owl:Class
NCBITaxon:356426	Hepatitis C virus subtype 3a	owl:Class
NCBITaxon:31655	Hepatitis C virus subtype 6a	owl:Class
NCBITaxon:12461	Hepatitis E virus	owl:Class
NCBITaxon:509628	Hepatitis E virus type 3	owl:Class
NCBITaxon:185580	Hepatitis E virus type 4	owl:Class
NCBITaxon:12475	Hepatitis delta virus	owl:Class
NCBITaxon:49011	Hesperocyparis arizonica	owl:Class
NCBITaxon:3981	Hevea brasiliensis	owl:Class
NCBITaxon:9606	Homo sapiens	owl:Class
NCBITaxon:11908	Human T-cell leukemia virus type I	owl:Class
NCBITaxon:11927	Human T-cell lymphotrophic virus type 1 (Caribbean isolate)	owl:Class
NCBITaxon:11909	Human T-lymphotropic virus 2	owl:Class
NCBITaxon:10515	Human adenovirus 2	owl:Class
NCBITaxon:28285	Human adenovirus 5	owl:Class
NCBITaxon:10298	Human alphaherpesvirus 1	owl:Class
NCBITaxon:10306	Human alphaherpesvirus 1 strain KOS	owl:Class
NCBITaxon:10310	Human alphaherpesvirus 2	owl:Class
NCBITaxon:10335	Human alphaherpesvirus 3	owl:Class
NCBITaxon:43358	Human astrovirus 8	owl:Class
NCBITaxon:10359	Human betaherpesvirus 5	owl:Class
NCBITaxon:32603	Human betaherpesvirus 6A	owl:Class
NCBITaxon:32604	Human betaherpesvirus 6B	owl:Class
NCBITaxon:10372	Human betaherpesvirus 7	owl:Class
NCBITaxon:11827	Human endogenous retrovirus	owl:Class
NCBITaxon:10376	Human gammaherpesvirus 4	owl:Class
NCBITaxon:37296	Human gammaherpesvirus 8	owl:Class
NCBITaxon:208726	Human hepatitis A virus	owl:Class
NCBITaxon:12098	Human hepatitis A virus Hu/Australia/HM175/1976	owl:Class
NCBITaxon:11676	Human immunodeficiency virus 1	owl:Class
NCBITaxon:11709	Human immunodeficiency virus 2	owl:Class
NCBITaxon:108098	Human mastadenovirus B	owl:Class
NCBITaxon:162145	Human metapneumovirus	owl:Class
NCBITaxon:11250	Human orthopneumovirus	owl:Class
NCBITaxon:10566	Human papillomavirus	owl:Class
NCBITaxon:333760	Human papillomavirus type 16	owl:Class
NCBITaxon:333761	Human papillomavirus type 18	owl:Class
NCBITaxon:10586	Human papillomavirus type 33	owl:Class
NCBITaxon:10600	Human papillomavirus type 6b	owl:Class
NCBITaxon:1346520	Human parvovirus	owl:Class
NCBITaxon:10798	Human parvovirus B19	owl:Class
NCBITaxon:12080	Human poliovirus 1	owl:Class
NCBITaxon:12083	Human poliovirus 2	owl:Class
NCBITaxon:12086	Human poliovirus 3	owl:Class
NCBITaxon:1891762	Human polyomavirus 1	owl:Class
NCBITaxon:208893	Human respiratory syncytial virus A	owl:Class
NCBITaxon:208895	Human respiratory syncytial virus B	owl:Class
NCBITaxon:12130	Human rhinovirus A2	owl:Class
NCBITaxon:12132	Human rhinovirus A89	owl:Class
NCBITaxon:10941	Human rotavirus A	owl:Class
NCBITaxon:11120	Infectious bronchitis virus	owl:Class
NCBITaxon:10995	Infectious bursal disease virus	owl:Class
NCBITaxon:31560	Infectious bursal disease virus E	owl:Class
NCBITaxon:11320	Influenza A virus	owl:Class
NCBITaxon:385576	Influenza A virus (A/Alaska/6/1977(H3N2))	owl:Class
NCBITaxon:132504	Influenza A virus (A/X-31(H3N2))	owl:Class
NCBITaxon:41857	Influenza A virus H3N2	owl:Class
NCBITaxon:11520	Influenza B virus	owl:Class
NCBITaxon:9725	Inia geoffrensis	owl:Class
NCBITaxon:10632	JC polyomavirus	owl:Class
NCBITaxon:11072	Japanese encephalitis virus	owl:Class
NCBITaxon:11073	Japanese encephalitis virus strain SA-14	owl:Class
NCBITaxon:453927	Juniperus formosana	owl:Class
NCBITaxon:884045	Juniperus saxicola	owl:Class
NCBITaxon:10623	Kappapapillomavirus 2	owl:Class
NCBITaxon:573	Klebsiella pneumoniae	owl:Class
NCBITaxon:11077	Kunjin virus	owl:Class
NCBITaxon:11048	Lactate dehydrogenase-elevating virus	owl:Class
NCBITaxon:33959	Lactobacillus johnsonii	owl:Class
NCBITaxon:11620	Lassa mammarenavirus	owl:Class
NCBITaxon:11622	Lassa virus Josiah	owl:Class
NCBITaxon:66976	Legionella pneumophila serogroup 1	owl:Class
NCBITaxon:5667	Leishmania aethiopica	owl:Class
NCBITaxon:5659	Leishmania amazonensis	owl:Class
NCBITaxon:5660	Leishmania braziliensis	owl:Class
NCBITaxon:5661	Leishmania donovani	owl:Class
NCBITaxon:99875	Leishmania donovani donovani	owl:Class
NCBITaxon:5671	Leishmania infantum	owl:Class
NCBITaxon:5664	Leishmania major	owl:Class
NCBITaxon:5665	Leishmania mexicana	owl:Class
NCBITaxon:5679	Leishmania panamensis	owl:Class
NCBITaxon:5666	Leishmania tropica	owl:Class
NCBITaxon:11049	Lelystad virus	owl:Class
NCBITaxon:57678	Leptospira interrogans serovar Lai	owl:Class
NCBITaxon:94043	Leptospira sp. Akiyami A	owl:Class
NCBITaxon:1642	Listeria innocua	owl:Class
NCBITaxon:1639	Listeria monocytogenes	owl:Class
NCBITaxon:4522	Lolium perenne	owl:Class
NCBITaxon:74361	Lycodon rufozonatus	owl:Class
NCBITaxon:11623	Lymphocytic choriomeningitis mammarenavirus	owl:Class
NCBITaxon:11624	Lymphocytic choriomeningitis virus (strain Armstrong)	owl:Class
NCBITaxon:11627	Lymphocytic choriomeningitis virus (strain WE)	owl:Class
NCBITaxon:9541	Macaca fascicularis	owl:Class
NCBITaxon:1891767	Macaca mulatta polyomavirus 1	owl:Class
NCBITaxon:11628	Machupo mammarenavirus	owl:Class
NCBITaxon:46269	Macropisthodon rudis	owl:Class
NCBITaxon:3750	Malus domestica	owl:Class
NCBITaxon:75985	Mannheimia haemolytica	owl:Class
NCBITaxon:11234	Measles morbillivirus	owl:Class
NCBITaxon:351680	Measles virus genotypes and isolates	owl:Class
NCBITaxon:55429	Megathura crenulata	owl:Class
NCBITaxon:9103	Meleagris gallopavo	owl:Class
